word/phrase,type,raw_frequency,count,topic,POS,syllables,readability_score,level,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,Core Inventory,EGP,GSELO,log_freq,frequency_score
vegetarian,word,1.6002560409665546e-05,2,general,adj,5,0.0,UNKNOWN,,,,,,,,-4.795807810769671,2
broad,word,8.001280204832773e-06,1,general,adj adjective,1,10.0,B2,,,,,,,,-5.0968350925528725,1
street,word,0.00033605376860297646,42,"city,house and home, environment,things in the town, shops and shopping",propn noun,1,10.0,A1,,,,,,,,-3.473591100699879,5
opening,word,2.400384061449832e-05,3,general,verb noun,3,0.0,B2,,,,,,,,-4.619717456344684,2
menu,word,5.600896143382941e-05,7,"food and drink,general",noun,2,3.66,A1,,,,,,,,-4.251741704916048,3
info,word,8.001280204832773e-06,1,general,noun,2,3.66,B2,,,,,,,,-5.0968350925528725,1
meat,word,0.0002320371259401504,29,"food,food and drink",noun,1,10.0,A1,,,,,,,,-3.634442335266528,4
fish,word,0.0003600576092174748,45,"food,food and drink",noun,1,10.0,A1,,,,,,,,-3.4436278859380085,5
grilled,word,8.001280204832773e-06,1,general,verb,1,10.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
day,word,0.0025604096655464873,320,general,noun,1,10.0,A1,,,,,,,,-2.59169052504957,7
steak,word,5.600896143382941e-05,7,general,noun,1,10.0,UNKNOWN,,,,,,,,-4.251741704916048,3
chips,word,0.00011201792286765882,14,general,noun,1,10.0,UNKNOWN,,,,,,,,-3.9507120969524365,4
salad,word,0.00013602176348215714,17,"food and drink,general",noun,2,3.66,A1,,,,,,,,-3.8663912796701485,4
sausage,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
roast,word,1.6002560409665546e-05,2,general,noun,1,10.0,UNKNOWN,,,,,,,,-4.795807810769671,2
tomato,word,4.800768122899664e-05,6,"food and drink,vegetables",noun,3,0.0,A1,,,,,,,,-4.318688365313283,3
pasta,word,8.80140822531605e-05,11,general,propn,2,3.66,UNKNOWN,,,,,,,,-4.055447341735951,3
garlic,word,4.800768122899664e-05,6,general,adj,2,3.66,UNKNOWN,,,,,,,,-4.318688365313283,3
yoghurt,word,8.001280204832773e-06,1,general,propn,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
dressing,word,8.001280204832773e-06,1,general,verb,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
cheese,word,0.00010401664266282605,13,"food and drink,general",noun,1,10.0,A1,,,,,,,,-3.98289675050072,4
pizza,word,0.00013602176348215714,17,general,noun,2,3.66,UNKNOWN,,,,,,,,-3.8663912796701485,4
mushroom,word,2.400384061449832e-05,3,vegetables,noun,2,3.66,UNKNOWN,,,,,,,,-4.619717456344684,2
omelette,word,8.001280204832773e-06,1,general,propn,1,10.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
vegetable,word,4.0006401024163864e-05,5,"food and drink,general",noun,3,0.0,A1,,,,,,,,-4.39786943043424,3
chili,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
soup,word,0.00026404224675948153,33,"food and drink,general",noun,1,10.0,A1,,,,,,,,-3.5783264159743684,5
brown,word,0.000248039686349816,31,colors,"adj adjective, noun,adjective",1,10.0,A1,,,,,,,,-3.6054786514064285,4
white,word,0.001448231717074732,181,colors,"adj adjective, noun,adjective",1,10.0,A1,,,,,,,,-2.839161915474292,6
bread,word,0.00036805888942230755,46,"food,food and drink",noun,1,10.0,A1,,,,,,,,-3.434082570653909,5
something,word,0.0007361177788446151,92,general,pron pronoun,2,3.66,A1,,,,,,,,-3.133052633987877,6
sweet,word,3.200512081933109e-05,4,general,"adj adjective, noun,adjective",1,10.0,A2,,,,,,,,-4.494779172052438,2
homemade,word,1.6002560409665546e-05,2,general,adj,2,3.66,UNKNOWN,,,,,,,,-4.795807810769671,2
carrot,word,3.200512081933109e-05,4,"shopping,vegetables",noun,2,3.66,A1,,,,,,,,-4.494779172052438,2
cake,word,0.00021603456553048487,27,"food and drink,holidays",noun,1,10.0,A1,,,,,,,,-3.6654765551423587,4
banana,word,4.0006401024163864e-05,5,"food,food and drink",noun,3,0.0,A1,,,,,,,,-4.39786943043424,3
chocolate,word,0.00012802048327732437,16,"food and drink,general",noun,2,3.66,A1,,,,,,,,-3.89272019843732,4
ice,word,0.0005040806529044647,63,"food and drink,general",noun,1,10.0,A1,,,,,,,,-3.2974998847220633,5
cream,word,0.00019203072491598655,24,general,noun adjective,1,10.0,A1,,,,,,,,-3.716629052460991,4
sauce,word,2.400384061449832e-05,3,"food and drink,general",noun,1,10.0,A2,,,,,,,,-4.619717456344684,2
fresh,word,0.00010401664266282605,13,general,adj adjective,1,10.0,A2,,,,,,,,-3.98289675050072,4
fruit,word,0.0002320371259401504,29,"food and drink,general",noun,1,10.0,A1,,,,,,,,-3.634442335266528,4
